"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"25391",41210,"Wellington","05/10/2018","W",3169,2018-05-10,5,"May",2018,10,"Thursday","(41.936033, -87.653266)","purple_exp"
"25895",41210,"Wellington","05/12/2018","A",1114,2018-05-12,5,"May",2018,12,"Saturday","(41.936033, -87.653266)","purple_exp"
"25928",41210,"Wellington","06/11/2018","W",3017,2018-06-11,6,"Jun",2018,11,"Monday","(41.936033, -87.653266)","purple_exp"
"26146",41210,"Wellington","04/26/2018","W",3245,2018-04-26,4,"Apr",2018,26,"Thursday","(41.936033, -87.653266)","purple_exp"
"26203",41210,"Wellington","06/10/2018","U",863,2018-06-10,6,"Jun",2018,10,"Sunday","(41.936033, -87.653266)","purple_exp"
"26270",41210,"Wellington","05/15/2018","W",3172,2018-05-15,5,"May",2018,15,"Tuesday","(41.936033, -87.653266)","purple_exp"
"26497",41210,"Wellington","06/01/2018","W",3077,2018-06-01,6,"Jun",2018,1,"Friday","(41.936033, -87.653266)","purple_exp"
"26645",41210,"Wellington","05/05/2018","A",1379,2018-05-05,5,"May",2018,5,"Saturday","(41.936033, -87.653266)","purple_exp"
"26892",41210,"Wellington","04/22/2018","U",765,2018-04-22,4,"Apr",2018,22,"Sunday","(41.936033, -87.653266)","purple_exp"
"26990",41210,"Wellington","04/14/2018","A",1135,2018-04-14,4,"Apr",2018,14,"Saturday","(41.936033, -87.653266)","purple_exp"
"27048",41210,"Wellington","06/14/2018","W",3103,2018-06-14,6,"Jun",2018,14,"Thursday","(41.936033, -87.653266)","purple_exp"
"27132",41210,"Wellington","04/05/2018","W",3270,2018-04-05,4,"Apr",2018,5,"Thursday","(41.936033, -87.653266)","purple_exp"
"27283",41210,"Wellington","04/30/2018","W",3017,2018-04-30,4,"Apr",2018,30,"Monday","(41.936033, -87.653266)","purple_exp"
"27297",41210,"Wellington","06/16/2018","A",1262,2018-06-16,6,"Jun",2018,16,"Saturday","(41.936033, -87.653266)","purple_exp"
"27362",41210,"Wellington","05/30/2018","W",3145,2018-05-30,5,"May",2018,30,"Wednesday","(41.936033, -87.653266)","purple_exp"
"27395",41210,"Wellington","05/25/2018","W",2747,2018-05-25,5,"May",2018,25,"Friday","(41.936033, -87.653266)","purple_exp"
"27425",41210,"Wellington","05/02/2018","W",3174,2018-05-02,5,"May",2018,2,"Wednesday","(41.936033, -87.653266)","purple_exp"
